125 37
0 1 3.0
0 2 2.0
0 3 6.0
0 4 2.0
0 5 6.0
0 6 3.0
0 7 5.0
0 8 1.0
0 9 0.0
0 10 3.0
0 11 1.0
0 12 9.0
0 13 0.0
0 14 5.0
0 15 3.0
0 16 0.0
0 17 7.0
0 18 9.0
0 19 5.0
0 20 5.0
0 21 9.0
0 22 7.0
0 23 8.0
0 24 1.0
0 25 7.0
0 26 5.0
0 27 3.0
0 28 9.0
0 29 7.0
0 30 0.0
0 31 2.0
0 32 9.0
0 33 6.0
0 34 8.0
0 35 4.0
0 36 8.0
0 37 2.0
0 38 6.0
0 39 7.0
0 40 5.0
0 41 8.0
0 42 4.0
0 43 8.0
0 44 5.0
0 45 1.0
0 46 6.0
0 47 1.0
0 48 0.0
0 49 1.0
0 50 4.0
0 51 6.0
0 52 9.0
0 53 4.0
0 54 7.0
0 55 2.0
0 56 7.0
0 57 8.0
0 58 1.0
0 59 0.0
0 60 8.0
0 61 0.0
0 62 9.0
0 63 9.0
0 64 7.0
0 65 9.0
0 66 6.0
0 67 0.0
0 68 3.0
0 69 1.0
0 70 7.0
0 71 5.0
0 72 2.0
0 73 4.0
0 74 6.0
0 75 3.0
0 76 2.0
0 77 1.0
0 78 9.0
0 79 4.0
0 80 8.0
0 81 3.0
0 82 5.0
0 83 2.0
0 84 3.0
0 85 3.0
0 86 6.0
0 87 2.0
0 88 1.0
0 89 8.0
0 90 5.0
0 91 6.0
0 92 8.0
0 93 7.0
0 94 2.0
0 95 0.0
0 96 5.0
0 97 7.0
0 98 8.0
0 99 6.0
0 100 6.0
0 101 0.0
0 102 9.0
0 103 5.0
0 104 7.0
0 105 2.0
0 106 8.0
0 107 9.0
0 108 2.0
0 109 6.0
0 110 4.0
0 111 7.0
0 112 9.0
0 113 0.0
0 114 3.0
0 115 4.0
0 116 0.0
0 117 5.0
0 118 8.0
0 119 2.0
0 120 2.0
0 121 8.0
0 122 8.0
0 123 2.0
0 124 6.0
1 2 8.0
1 3 1.0
1 4 7.0
1 5 0.0
1 6 0.0
1 7 5.0
1 8 3.0
1 9 9.0
1 10 3.0
1 11 1.0
1 12 8.0
1 13 4.0
1 14 5.0
1 15 5.0
1 16 8.0
1 17 5.0
1 18 5.0
