150 15
0 1 8.0
0 2 9.0
0 3 4.0
0 4 7.0
0 5 4.0
0 6 6.0
0 7 5.0
0 8 7.0
0 9 1.0
0 10 2.0
0 11 4.0
0 12 4.0
0 13 2.0
0 14 2.0
0 15 9.0
0 16 0.0
0 17 9.0
0 18 2.0
0 19 2.0
0 20 9.0
0 21 3.0
0 22 0.0
0 23 2.0
0 24 3.0
0 25 3.0
0 26 3.0
0 27 6.0
0 28 2.0
0 29 5.0
0 30 7.0
0 31 2.0
0 32 6.0
0 33 5.0
0 34 0.0
0 35 1.0
0 36 4.0
0 37 7.0
0 38 5.0
0 39 8.0
0 40 4.0
0 41 1.0
0 42 8.0
0 43 2.0
0 44 1.0
0 45 9.0
0 46 5.0
0 47 0.0
0 48 8.0
0 49 3.0
0 50 6.0
0 51 3.0
0 52 1.0
0 53 8.0
0 54 9.0
0 55 4.0
0 56 5.0
0 57 2.0
0 58 6.0
0 59 6.0
0 60 3.0
0 61 5.0
0 62 6.0
0 63 4.0
0 64 9.0
0 65 6.0
0 66 8.0
0 67 7.0
0 68 7.0
0 69 4.0
0 70 0.0
0 71 3.0
0 72 9.0
0 73 5.0
0 74 0.0
0 75 7.0
0 76 5.0
0 77 6.0
0 78 4.0
0 79 1.0
0 80 4.0
0 81 6.0
0 82 5.0
0 83 3.0
0 84 1.0
0 85 5.0
0 86 0.0
0 87 0.0
0 88 0.0
0 89 9.0
0 90 9.0
0 91 2.0
0 92 5.0
0 93 2.0
0 94 4.0
0 95 6.0
0 96 8.0
0 97 3.0
0 98 0.0
0 99 9.0
0 100 2.0
0 101 6.0
0 102 3.0
0 103 1.0
0 104 9.0
0 105 6.0
0 106 9.0
0 107 9.0
0 108 6.0
0 109 1.0
0 110 5.0
0 111 0.0
0 112 6.0
0 113 3.0
0 114 0.0
0 115 5.0
0 116 1.0
0 117 3.0
0 118 9.0
0 119 9.0
0 120 0.0
0 121 5.0
0 122 6.0
0 123 6.0
0 124 4.0
0 125 7.0
0 126 1.0
0 127 2.0
0 128 3.0
0 129 1.0
0 130 4.0
0 131 2.0
0 132 7.0
0 133 1.0
0 134 0.0
0 135 6.0
0 136 9.0
0 137 0.0
0 138 2.0
0 139 1.0
0 140 7.0
0 141 0.0
0 142 2.0
0 143 3.0
0 144 6.0
0 145 6.0
0 146 4.0
0 147 7.0
0 148 1.0
0 149 4.0
1 2 4.0
1 3 3.0
1 4 4.0
1 5 5.0
1 6 2.0
1 7 9.0
1 8 1.0
1 9 7.0
1 10 9.0
1 11 8.0
1 12 7.0
1 13 1.0
1 14 0.0
1 15 6.0
1 16 1.0
1 17 1.0
1 18 6.0
1 19 8.0
1 20 2.0
1 21 8.0
1 22 3.0
1 23 0.0
1 24 6.0
1 25 4.0
1 26 5.0
1 27 6.0
1 28 5.0
1 29 2.0
1 30 1.0
1 31 6.0
1 32 2.0
1 33 3.0
1 34 8.0
1 35 5.0
1 36 1.0
1 37 3.0
1 38 6.0
1 39 8.0
1 40 9.0
1 41 3.0
1 42 5.0
1 43 6.0
1 44 1.0
1 45 1.0
1 46 2.0
1 47 7.0
1 48 5.0
1 49 6.0
1 50 7.0
1 51 5.0
1 52 2.0
1 53 1.0
1 54 1.0
1 55 3.0
1 56 7.0
1 57 5.0
1 58 5.0
1 59 3.0
1 60 1.0
1 61 5.0
1 62 0.0
1 63 6.0
1 64 8.0
1 65 4.0
1 66 3.0
1 67 9.0
1 68 2.0
1 69 0.0
1 70 8.0
1 71 4.0
1 72 4.0
1 73 0.0
1 74 5.0
1 75 4.0
1 76 2.0
1 77 1.0
1 78 7.0
1 79 6.0
1 80 9.0
1 81 1.0
1 82 3.0
1 83 4.0
1 84 4.0
1 85 1.0
1 86 7.0
1 87 1.0
1 88 6.0
1 89 1.0
1 90 8.0
1 91 8.0
1 92 5.0
1 93 7.0
1 94 0.0
1 95 6.0
1 96 5.0
1 97 1.0
1 98 0.0
1 99 5.0
1 100 0.0
1 101 0.0
1 102 9.0
1 103 5.0
1 104 4.0
1 105 9.0
1 106 1.0
1 107 3.0
1 108 1.0
1 109 2.0
1 110 1.0
1 111 6.0
1 112 8.0
1 113 3.0
1 114 7.0
1 115 6.0
1 116 3.0
1 117 4.0
1 118 5.0
1 119 1.0
1 120 3.0
1 121 9.0
1 122 2.0
1 123 9.0
1 124 6.0
1 125 6.0
1 126 3.0
