100 30
0 1 2.0
0 2 1.0
0 3 3.0
0 4 3.0
0 5 5.0
0 6 1.0
0 7 6.0
0 8 1.0
0 9 1.0
0 10 1.0
0 11 0.0
0 12 0.0
0 13 0.0
0 14 7.0
0 15 0.0
0 16 7.0
0 17 4.0
0 18 0.0
0 19 6.0
0 20 0.0
0 21 0.0
0 22 8.0
0 23 2.0
0 24 7.0
0 25 2.0
0 26 5.0
0 27 7.0
0 28 7.0
0 29 9.0
0 30 8.0
0 31 2.0
0 32 5.0
0 33 4.0
0 34 7.0
0 35 5.0
0 36 6.0
0 37 1.0
0 38 0.0
0 39 3.0
0 40 0.0
0 41 2.0
0 42 3.0
0 43 0.0
0 44 0.0
0 45 5.0
0 46 7.0
0 47 5.0
0 48 5.0
0 49 0.0
0 50 7.0
0 51 4.0
0 52 1.0
0 53 5.0
0 54 8.0
0 55 1.0
0 56 5.0
0 57 2.0
0 58 9.0
0 59 2.0
0 60 6.0
0 61 4.0
0 62 3.0
0 63 3.0
0 64 6.0
0 65 5.0
0 66 9.0
0 67 4.0
0 68 2.0
0 69 4.0
0 70 8.0
0 71 9.0
0 72 3.0
0 73 1.0
0 74 6.0
0 75 0.0
0 76 5.0
0 77 1.0
0 78 6.0
0 79 3.0
0 80 7.0
0 81 1.0
0 82 7.0
0 83 3.0
0 84 7.0
0 85 5.0
0 86 9.0
0 87 1.0
0 88 7.0
0 89 8.0
0 90 8.0
0 91 7.0
0 92 2.0
0 93 1.0
0 94 7.0
0 95 8.0
0 96 9.0
0 97 2.0
0 98 1.0
0 99 7.0
1 2 7.0
1 3 9.0
1 4 2.0
1 5 0.0
1 6 0.0
1 7 7.0
1 8 9.0
1 9 9.0
1 10 2.0
1 11 1.0
1 12 6.0
1 13 5.0
1 14 3.0
1 15 9.0
1 16 1.0
1 17 1.0
1 18 6.0
1 19 5.0
1 20 6.0
1 21 2.0
1 22 2.0
1 23 1.0
1 24 8.0
1 25 7.0
1 26 4.0
1 27 7.0
1 28 9.0
1 29 7.0
1 30 4.0
1 31 0.0
1 32 4.0
1 33 1.0
1 34 1.0
1 35 4.0
1 36 5.0
1 37 6.0
1 38 9.0
1 39 4.0
1 40 7.0
1 41 3.0
1 42 4.0
1 43 6.0
1 44 5.0
1 45 5.0
1 46 0.0
1 47 5.0
1 48 5.0
1 49 5.0
1 50 3.0
1 51 2.0
1 52 1.0
1 53 0.0
1 54 6.0
1 55 3.0
1 56 4.0
1 57 5.0
1 58 5.0
1 59 6.0
1 60 9.0
1 61 4.0
1 62 7.0
1 63 7.0
1 64 1.0
1 65 1.0
1 66 8.0
1 67 4.0
1 68 4.0
1 69 1.0
1 70 5.0
1 71 6.0
1 72 2.0
1 73 5.0
1 74 1.0
1 75 3.0
1 76 7.0
1 77 4.0
1 78 4.0
1 79 5.0
1 80 6.0
1 81 0.0
1 82 7.0
1 83 4.0
1 84 3.0
1 85 3.0
1 86 1.0
1 87 2.0
1 88 2.0
1 89 8.0
1 90 7.0
1 91 4.0
1 92 8.0
1 93 8.0
1 94 0.0
1 95 6.0
1 96 0.0
1 97 1.0
1 98 5.0
1 99 6.0
2 3 6.0
2 4 7.0
2 5 5.0
2 6 5.0
2 7 9.0
2 8 4.0
2 9 1.0
2 10 6.0
2 11 2.0
2 12 6.0
2 13 3.0
2 14 1.0
2 15 7.0
2 16 5.0
2 17 1.0
2 18 4.0
2 19 3.0
2 20 3.0
2 21 2.0
2 22 0.0
2 23 1.0
2 24 0.0
2 25 6.0
2 26 9.0
2 27 2.0
2 28 3.0
2 29 6.0
2 30 6.0
2 31 1.0
2 32 8.0
2 33 6.0
2 34 6.0
2 35 8.0
2 36 9.0
2 37 1.0
2 38 1.0
2 39 2.0
2 40 7.0
2 41 8.0
2 42 3.0
2 43 3.0
2 44 8.0
2 45 3.0
2 46 7.0
2 47 0.0
2 48 3.0
2 49 5.0
2 50 5.0
2 51 2.0
2 52 1.0
2 53 3.0
2 54 3.0
2 55 3.0
2 56 2.0
2 57 9.0
2 58 2.0
2 59 4.0
2 60 5.0
2 61 2.0
2 62 8.0
2 63 4.0
2 64 2.0
2 65 6.0
2 66 9.0
2 67 8.0
2 68 9.0
2 69 7.0
2 70 1.0
2 71 7.0
2 72 3.0
2 73 9.0
2 74 7.0
2 75 8.0
2 76 1.0
2 77 0.0
2 78 2.0
2 79 7.0
2 80 1.0
2 81 3.0
2 82 1.0
2 83 4.0
2 84 2.0
2 85 0.0
2 86 8.0
2 87 7.0
2 88 7.0
2 89 3.0
2 90 8.0
2 91 8.0
2 92 5.0
2 93 6.0
2 94 0.0
2 95 7.0
2 96 1.0
2 97 2.0
2 98 6.0
2 99 2.0
3 4 1.0
3 5 6.0
3 6 0.0
3 7 0.0
3 8 8.0
3 9 1.0
3 10 4.0
3 11 3.0
3 12 5.0
3 13 2.0
3 14 0.0
3 15 6.0
3 16 9.0
3 17 8.0
3 18 7.0
3 19 7.0
3 20 5.0
3 21 8.0
3 22 2.0
3 23 0.0
3 24 4.0
3 25 0.0
3 26 0.0
3 27 8.0
3 28 7.0
3 29 8.0
3 30 6.0
3 31 8.0
3 32 9.0
3 33 2.0
3 34 1.0
3 35 5.0
3 36 6.0
3 37 8.0
3 38 7.0
3 39 6.0
3 40 3.0
3 41 1.0
3 42 6.0
3 43 7.0
3 44 9.0
3 45 8.0
3 46 5.0
3 47 1.0
3 48 8.0
3 49 0.0
3 50 2.0
3 51 6.0
3 52 8.0
3 53 9.0
3 54 9.0
3 55 2.0
3 56 6.0
3 57 9.0
3 58 0.0
3 59 5.0
3 60 4.0
3 61 0.0
3 62 3.0
3 63 7.0
3 64 2.0
3 65 1.0
3 66 1.0
3 67 5.0
3 68 7.0
3 69 2.0
3 70 0.0
3 71 1.0
3 72 5.0
3 73 4.0
3 74 1.0
3 75 7.0
3 76 4.0
3 77 6.0
3 78 0.0
3 79 0.0
3 80 1.0
3 81 4.0
3 82 5.0
3 83 5.0
3 84 8.0
3 85 8.0
3 86 1.0
3 87 9.0
3 88 5.0
3 89 7.0
3 90 9.0
3 91 4.0
3 92 4.0
3 93 5.0
3 94 5.0
3 95 4.0
3 96 5.0
3 97 2.0
3 98 7.0
3 99 0.0
4 5 8.0
4 6 8.0
4 7 8.0
4 8 4.0
4 9 1.0
4 10 8.0
4 11 0.0
4 12 8.0
4 13 2.0
4 14 8.0
4 15 7.0
4 16 5.0
4 17 3.0
4 18 7.0
4 19 6.0
4 20 6.0
4 21 7.0
4 22 2.0
4 23 4.0
4 24 9.0
4 25 4.0
4 26 0.0
4 27 6.0
4 28 4.0
4 29 4.0
4 30 6.0
4 31 6.0
4 32 3.0
4 33 8.0
4 34 1.0
4 35 4.0
4 36 3.0
4 37 0.0
4 38 8.0
4 39 8.0
4 40 1.0
4 41 6.0
