100 30
0 1 0.0
0 2 4.0
0 3 0.0
0 4 1.0
0 5 2.0
0 6 8.0
0 7 1.0
0 8 6.0
0 9 5.0
0 10 7.0
0 11 8.0
0 12 5.0
0 13 5.0
0 14 6.0
0 15 8.0
0 16 2.0
0 17 0.0
0 18 6.0
0 19 8.0
0 20 9.0
0 21 4.0
0 22 6.0
0 23 9.0
0 24 1.0
0 25 4.0
0 26 4.0
0 27 8.0
0 28 4.0
0 29 6.0
0 30 2.0
0 31 1.0
0 32 7.0
0 33 2.0
0 34 1.0
0 35 0.0
0 36 6.0
0 37 3.0
0 38 4.0
0 39 6.0
0 40 5.0
0 41 3.0
0 42 3.0
0 43 8.0
0 44 7.0
0 45 3.0
0 46 7.0
0 47 5.0
0 48 4.0
0 49 2.0
0 50 8.0
0 51 8.0
0 52 7.0
0 53 7.0
0 54 3.0
0 55 7.0
0 56 4.0
0 57 8.0
0 58 3.0
0 59 9.0
0 60 0.0
0 61 3.0
0 62 2.0
0 63 0.0
0 64 2.0
0 65 6.0
0 66 5.0
0 67 9.0
0 68 4.0
0 69 7.0
0 70 2.0
0 71 6.0
0 72 9.0
0 73 8.0
0 74 8.0
0 75 6.0
0 76 5.0
0 77 9.0
0 78 4.0
0 79 6.0
0 80 9.0
0 81 4.0
0 82 8.0
0 83 2.0
0 84 4.0
0 85 6.0
0 86 6.0
0 87 4.0
0 88 9.0
0 89 6.0
0 90 9.0
0 91 1.0
0 92 5.0
0 93 8.0
0 94 8.0
0 95 5.0
0 96 4.0
0 97 1.0
0 98 7.0
0 99 4.0
1 2 3.0
1 3 0.0
1 4 9.0
1 5 1.0
1 6 3.0
1 7 3.0
1 8 4.0
1 9 8.0
1 10 7.0
1 11 1.0
1 12 2.0
1 13 1.0
1 14 0.0
1 15 1.0
1 16 5.0
1 17 5.0
1 18 0.0
1 19 4.0
1 20 5.0
1 21 7.0
1 22 2.0
1 23 3.0
1 24 0.0
1 25 5.0
1 26 9.0
1 27 1.0
1 28 4.0
1 29 0.0
1 30 8.0
1 31 9.0
1 32 0.0
1 33 5.0
1 34 6.0
1 35 1.0
1 36 5.0
1 37 9.0
1 38 3.0
1 39 2.0
1 40 1.0
1 41 1.0
1 42 2.0
1 43 1.0
1 44 3.0
1 45 4.0
1 46 6.0
1 47 4.0
1 48 9.0
1 49 2.0
1 50 2.0
1 51 9.0
1 52 2.0
1 53 8.0
1 54 9.0
1 55 8.0
1 56 7.0
1 57 7.0
1 58 2.0
1 59 6.0
1 60 2.0
1 61 9.0
1 62 0.0
1 63 1.0
1 64 7.0
1 65 6.0
1 66 7.0
1 67 6.0
1 68 6.0
1 69 3.0
1 70 5.0
1 71 8.0
1 72 5.0
1 73 5.0
1 74 7.0
1 75 7.0
1 76 1.0
1 77 2.0
1 78 7.0
1 79 3.0
1 80 7.0
1 81 9.0
1 82 3.0
1 83 2.0
1 84 2.0
1 85 4.0
1 86 8.0
1 87 9.0
1 88 1.0
1 89 4.0
1 90 5.0
1 91 3.0
1 92 6.0
1 93 3.0
