150 45
0 1 6.0
0 2 9.0
0 3 3.0
0 4 6.0
0 5 4.0
0 6 1.0
0 7 7.0
0 8 7.0
0 9 1.0
0 10 7.0
0 11 5.0
0 12 8.0
0 13 7.0
0 14 7.0
0 15 1.0
0 16 3.0
0 17 6.0
0 18 6.0
0 19 2.0
0 20 0.0
0 21 4.0
0 22 4.0
0 23 2.0
0 24 3.0
0 25 5.0
0 26 7.0
0 27 9.0
0 28 8.0
0 29 6.0
0 30 9.0
0 31 7.0
0 32 0.0
0 33 1.0
0 34 2.0
0 35 8.0
0 36 8.0
0 37 5.0
0 38 5.0
0 39 4.0
0 40 3.0
0 41 1.0
0 42 6.0
0 43 3.0
0 44 3.0
0 45 2.0
0 46 7.0
0 47 8.0
0 48 9.0
0 49 4.0
0 50 8.0
0 51 2.0
0 52 4.0
0 53 9.0
0 54 0.0
0 55 0.0
0 56 8.0
0 57 6.0
0 58 5.0
0 59 5.0
0 60 4.0
0 61 6.0
0 62 1.0
0 63 4.0
0 64 8.0
0 65 5.0
0 66 0.0
0 67 1.0
0 68 1.0
0 69 3.0
0 70 6.0
0 71 3.0
0 72 5.0
0 73 0.0
0 74 8.0
0 75 4.0
0 76 8.0
0 77 6.0
0 78 4.0
0 79 2.0
0 80 2.0
0 81 9.0
0 82 3.0
0 83 3.0
0 84 7.0
0 85 1.0
0 86 3.0
0 87 4.0
0 88 3.0
0 89 3.0
0 90 1.0
0 91 4.0
0 92 9.0
0 93 2.0
0 94 1.0
0 95 8.0
0 96 4.0
0 97 8.0
0 98 8.0
0 99 4.0
0 100 0.0
0 101 5.0
0 102 4.0
0 103 2.0
0 104 0.0
0 105 2.0
0 106 2.0
0 107 5.0
0 108 3.0
0 109 3.0
0 110 7.0
0 111 5.0
0 112 9.0
0 113 7.0
0 114 4.0
0 115 3.0
0 116 2.0
0 117 1.0
0 118 5.0
0 119 8.0
0 120 5.0
0 121 6.0
0 122 0.0
0 123 7.0
0 124 8.0
0 125 9.0
0 126 7.0
0 127 2.0
0 128 1.0
0 129 5.0
0 130 1.0
0 131 4.0
0 132 9.0
0 133 0.0
0 134 7.0
0 135 4.0
0 136 6.0
0 137 2.0
0 138 6.0
0 139 4.0
0 140 8.0
0 141 1.0
0 142 5.0
0 143 0.0
0 144 7.0
0 145 7.0
0 146 1.0
0 147 2.0
0 148 4.0
0 149 9.0
1 2 0.0
1 3 5.0
1 4 8.0
1 5 4.0
1 6 3.0
1 7 9.0
1 8 1.0
1 9 9.0
1 10 2.0
1 11 8.0
1 12 1.0
1 13 0.0
1 14 0.0
1 15 7.0
1 16 1.0
1 17 7.0
1 18 4.0
1 19 9.0
1 20 3.0
1 21 1.0
1 22 1.0
1 23 0.0
1 24 6.0
1 25 4.0
1 26 0.0
1 27 2.0
1 28 4.0
1 29 3.0
1 30 9.0
1 31 0.0
1 32 9.0
1 33 4.0
1 34 6.0
1 35 1.0
1 36 6.0
1 37 9.0
1 38 1.0
1 39 6.0
1 40 0.0
1 41 1.0
1 42 2.0
1 43 0.0
1 44 0.0
1 45 2.0
1 46 9.0
1 47 6.0
1 48 9.0
1 49 1.0
1 50 1.0
1 51 3.0
1 52 5.0
1 53 9.0
1 54 7.0
1 55 5.0
1 56 9.0
1 57 8.0
1 58 1.0
1 59 0.0
1 60 1.0
1 61 5.0
1 62 3.0
1 63 9.0
1 64 6.0
1 65 0.0
1 66 4.0
1 67 5.0
1 68 7.0
1 69 0.0
1 70 2.0
1 71 6.0
1 72 4.0
1 73 7.0
1 74 1.0
1 75 7.0
1 76 8.0
1 77 4.0
1 78 7.0
1 79 4.0
1 80 7.0
1 81 7.0
1 82 7.0
1 83 3.0
1 84 8.0
1 85 7.0
1 86 6.0
1 87 8.0
1 88 1.0
1 89 4.0
1 90 8.0
1 91 4.0
1 92 5.0
1 93 9.0
1 94 3.0
1 95 8.0
1 96 6.0
1 97 8.0
1 98 6.0
1 99 5.0
1 100 4.0
1 101 8.0
1 102 3.0
1 103 0.0
1 104 7.0
1 105 6.0
1 106 7.0
1 107 8.0
1 108 5.0
1 109 4.0
1 110 8.0
1 111 1.0
1 112 0.0
1 113 8.0
1 114 1.0
1 115 2.0
1 116 7.0
1 117 1.0
1 118 1.0
1 119 4.0
1 120 0.0
1 121 6.0
1 122 9.0
1 123 3.0
1 124 2.0
1 125 0.0
1 126 6.0
1 127 7.0
1 128 9.0
1 129 8.0
1 130 6.0
1 131 7.0
1 132 9.0
1 133 5.0
1 134 5.0
1 135 1.0
1 136 5.0
1 137 0.0
1 138 0.0
1 139 9.0
1 140 0.0
1 141 0.0
1 142 6.0
1 143 6.0
1 144 9.0
1 145 6.0
1 146 8.0
1 147 8.0
1 148 6.0
1 149 3.0
2 3 0.0
2 4 3.0
2 5 1.0
2 6 8.0
2 7 9.0
2 8 4.0
2 9 2.0
2 10 3.0
2 11 2.0
2 12 3.0
2 13 0.0
2 14 3.0
2 15 6.0
2 16 0.0
2 17 8.0
2 18 4.0
2 19 3.0
2 20 7.0
2 21 4.0
2 22 2.0
2 23 5.0
2 24 4.0
2 25 3.0
2 26 4.0
2 27 9.0
2 28 7.0
2 29 9.0
2 30 3.0
2 31 3.0
2 32 1.0
2 33 9.0
2 34 7.0
2 35 0.0
2 36 1.0
2 37 5.0
2 38 3.0
2 39 2.0
2 40 0.0
2 41 7.0
2 42 9.0
2 43 2.0
2 44 1.0
2 45 6.0
2 46 0.0
2 47 6.0
2 48 3.0
2 49 6.0
2 50 6.0
2 51 6.0
2 52 5.0
2 53 1.0
2 54 9.0
2 55 4.0
2 56 2.0
2 57 5.0
2 58 2.0
2 59 3.0
2 60 6.0
2 61 4.0
2 62 2.0
2 63 0.0
2 64 7.0
2 65 9.0
2 66 5.0
2 67 3.0
2 68 9.0
2 69 9.0
2 70 0.0
2 71 0.0
2 72 8.0
2 73 3.0
2 74 9.0
